Item,Qty,Reference(s),Value,Footprint,Mouser,Notes,Specs,Price EUR (single at 10pcs),Price EUR (all)
1,1,AE1,GPS-Antenna,,609-1575AT43A0040E,,,0.604,0.604
2,2,"C1, C31",22u,805,,,10V,0.1,0.2
3,10,"C8, C9, C10, C11, C12, C13, C37, C39, C40, C51",2u2,402,,,10V,0.05,0.5
4,13,"C14, C20, C22, C23, C29, C30, C33, C35, C43, C44, C45, C46, C48",100n,402,,,10V,0.02,0.26
5,3,"C15, C16, C34",100p,402,,,10V,0.02,0.06
6,5,"C5, C17, C24, C47, C50",22p,402,,,10V,0.02,0.1
7,4,"C18, C19, C36, C42",470p,402,,,16V,0.02,0.08
8,1,C2,1n,402,,,16V,0.02,0.02
9,5,"C3, C4, C6, C7, C21",10u,805,,,10V,0.07,0.35
10,1,C25,3.3p,402,,,16V,0.02,0.02
11,1,C26,15p,402,,,10V,0.02,0.02
12,1,C27,N/A,402,,do not assemble,16V,0,0
13,1,C28,1u,402,,,10V,0.05,0.05
14,2,"C32, C38",10n,402,,,10V,0.02,0.04
15,1,C41,6.2p,402,,,16V,0.02,0.02
16,1,C49,2.2p,402,,,16V,0.02,0.02
17,1,C52,12p,402,,,16V,0.02,0.02
18,1,D1,SDM100K30L-7,SOD-323,621-SDM100K30L-7,,,0.303,0.303
19,2,"D2, D7",red,603,,,,0.25,0.5
20,2,"D3, D5",green,603,,,,0.25,0.5
21,1,D4,yellow,603,,,,0.25,0.25
22,1,D6,blue,603,,,,0.25,0.25
23,1,IC1,SPV1040T,TSSOP-8,511-SPV1040T,,,2.21,2.21
24,1,IC10,AS213-92LF,SO-70-6,873-AS213-92LF,,,0.635,0.635
25,2,"IC2, IC8",TPS62260DRVR,DFN6,595-TPS62260DRVR,,,0.976,1.952
26,1,IC3,ADP322ACPZ-115-R7,QFN16,584-ADP322ACPZ-115R7,,,1.12,1.12
27,1,IC4,Si4464-B1B-FM,QFN20,634-SI4464-B1X-FMR,,,2.67,2.67
28,1,IC5,STM32F413RHT6,LQFP64,511-STM32F413RHT6,,,8,8
29,1,IC6,EVA-7M or EVA-M8,,672-1000-1-ND (Digikey),,,23.54,23.54
30,1,IC7,PAC1720-1-AIA-TR,DFN10,579-PAC1720-1-AIA-TR,,,0.984,0.984
31,1,IC9,BME280,,262-BME280,,,4.9,4.9
32,1,J1,DM3AT-SF-PEJM5,,798-DM3AT-SF-PEJM5,,,1.91,1.91
33,1,J2,CONN_01X15,100mil,,do not assemble,,0,0
34,1,L1,LPS6225-103,,994-LPS6225-103MRC,,,1.49,1.49
35,1,L10,150n,603,994-0603CS-R15XJLW,,,0.881,0.881
36,2,"L2, L7",LPS3015-222,,994-LPS3015-222MRC,,,0.97,1.94
37,1,L3,470n,603,810-MLJ1608WR47KT000,,,0.172,0.172
38,2,"L4, L9",56n,603,994-0603CS-56NXJLW,,,0.881,1.762
39,1,L5,82n,603,994-0603CS-82NXJLW,,,0.881,0.881
40,1,L6,0R,603,,fit 0R instead of L,,0.02,0.02
41,1,L8,220n,603,994-0603CS-R22XJLW,,,0.881,0.881
42,1,P1,CONN_01X25,,,included with camera,,0,0
43,1,P3,ZX62-B-5PA(33),,798-ZX62-B-5PA33,,,0.5,0.5
44,1,P4,SMA Connector,,,,,1,1
45,1,Q1,FDN306P,SOT-23,512-FDN306P,,,0.28,0.28
46,1,R1,220k,402,,,1%,0.02,0.02
47,6,"R10, R15, R19, R21, R27, R35",1k5,402,,,1%,0.02,0.12
48,3,"R11, R29, R30",1k,402,,,1%,0.02,0.06
49,1,R12,470k,402,,,1%,0.02,0.02
50,5,"R2, R8, R13, R17, R31",100k,402,,,1%,0.02,0.1
51,6,"R4, R6, R9, R14, R16, R32",10k,402,,,1%,0.02,0.12
52,2,"R18, R22",0R1,603,667-ERJ-3RSFR10V,,,0.155,0.31
53,1,R20,1M,402,,,1%,0.02,0.02
54,2,"R25, R26",4k7,402,,,1%,0.02,0.04
55,3,"R3, R5, R33",22k,402,,,1%,0.02,0.06
56,1,R7,402k,402,,,1%,0.02,0.02
57,1,X1,KT2016K26000BCW18ZAS,,581-KT2016K2BCW18ZAS,,,1.45,1.45
58,1,Camera,,,,,,10,10
59,1,Assembly,,,,,,20,20
60,1,PCB,,,,,,3,3
,,,,,,,,,97.235
